Game #,Seed,Survey Interval,Player 1 Model,Player 1 History,Player 1 Rules,Player 1 Strategy,Player 2 Model,Player 2 History,Player 2 Rules,Player 2 Strategy,Player 3 Model,Player 3 History,Player 3 Rules,Player 3 Strategy,Player 4 Model,Player 4 History,Player 4 Rules,Player 4 Strategy,Player 5 Model,Player 5 History,Player 5 Rules,Player 5 Strategy,Player 6 Model,Player 6 History,Player 6 Rules,Player 6 Strategy
65,3260290596,2,Claude,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,,,,,,,,
66,3419729322,2,Claude,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,,,,,,,,
67,1523901483,2,Claude,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,,,,,,,,
68,2625633111,2,Claude,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,,,,,,,,
69,2176736909,2,ChatGPT,10,0,0,Grok,10,1,0,Gemini,10,0,1,Claude,10,1,1,,,,,,,,
70,2064593633,2,ChatGPT,10,1,0,Grok,10,0,1,Gemini,10,1,1,Claude,10,0,0,,,,,,,,
71,2788506561,2,ChatGPT,10,0,1,Grok,10,1,1,Gemini,10,0,0,Claude,10,1,0,,,,,,,,
72,2485707010,2,ChatGPT,10,1,1,Grok,10,0,0,Gemini,10,1,0,Claude,10,0,1,,,,,,,,
73,1223849503,2,Grok,10,0,0,Gemini,10,1,0,Claude,10,0,1,ChatGPT,10,1,1,,,,,,,,
74,354939876,2,Grok,10,1,0,Gemini,10,0,1,Claude,10,1,1,ChatGPT,10,0,0,,,,,,,,
75,192992941,2,Grok,10,0,1,Gemini,10,1,1,Claude,10,0,0,ChatGPT,10,1,0,,,,,,,,
76,783810668,2,Grok,10,1,1,Gemini,10,0,0,Claude,10,1,0,ChatGPT,10,0,1,,,,,,,,
77,1994060811,2,Gemini,10,0,0,Claude,10,1,0,ChatGPT,10,0,1,Grok,10,1,1,,,,,,,,
78,1837016955,2,Gemini,10,1,0,Claude,10,0,1,ChatGPT,10,1,1,Grok,10,0,0,,,,,,,,
79,965460643,2,Gemini,10,0,1,Claude,10,1,1,ChatGPT,10,0,0,Grok,10,1,0,,,,,,,,
80,94642831,2,Gemini,10,1,1,Claude,10,0,0,ChatGPT,10,1,0,Grok,10,0,1,,,,,,,,
